订单号,产品码,消费日期,产品说明,数量,单价,用户码,城市
536374,21258,6/1/2022 9:09,绿联usb分线器 一拖四,32,10.95,15100,北京
536376,22114,6/1/2022 9:32,加大男装T恤男大码胖子宽松卡,48,50.45,15291,上海
536376,21733,6/1/2022 9:32,唐装男夏季青年棉麻中国风加肥,64,86.55,15291,上海
536378,22386,6/1/2022 9:37,越南进口白心火龙果4个装,10,108.95,14688,北京
536378,85099C,6/1/2022 9:37,大连美早樱桃400g 果径约26mm,10,166.95,14688,北京
536378,21033,6/1/2022 9:37,爱吃鱼 泰国新鲜鳕鱼 24hr内捕,10,388.95,14688,北京
536378,20723,6/1/2022 9:37,STRAWBERRY CHARLOTTE BAG,10,0.85,14688,北京
536378,84997B,6/1/2022 9:37,RED 3 PIECE RETROSPOT CUTLERY SET,12,3.75,14688,北京
536378,84997C,6/1/2022 9:37,BLUE 3 PIECE POLKADOT CUTLERY SET,6,3.75,14688,北京
536378,21094,6/1/2022 9:37,SET/6 RED SPOTTY PAPER PLATES,12,0.85,14688,北京
536378,20725,6/1/2022 9:37,LUNCH BAG RED RETROSPOT,10,1.65,14688,北京
536378,21559,6/1/2022 9:37,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2.55,14688,北京
536378,22352,6/1/2022 9:37,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2.55,14688,北京
536378,21212,6/1/2022 9:37,PACK OF 72 RETROSPOT CAKE CASES,120,0.42,14688,北京
536378,21975,6/1/2022 9:37,PACK OF 60 DINOSAUR CAKE CASES,24,0.55,14688,北京
536378,21977,6/1/2022 9:37,PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,14688,北京
536378,84991,6/1/2022 9:37,60 TEATIME FAIRY CAKE CASES,24,0.55,14688,北京
536378,84519A,6/1/2022 9:37,TOMATO CHARLIE+LOLA COASTER SET,6,2.95,14688,北京
536378,85183B,6/1/2022 9:37,CHARLIE & LOLA WASTEPAPER BIN FLORA,48,1.25,14688,北京
536378,85071B,6/1/2022 9:37,RED CHARLIE+LOLA PERSONAL DOORSIGN,96,0.38,14688,北京
536378,21931,6/1/2022 9:37,JUMBO STORAGE BAG SUKI,10,1.95,14688,北京
536378,21929,6/1/2022 9:37,JUMBO BAG PINK VINTAGE PAISLEY,10,1.95,14688,北京
536381,22139,6/1/2022 9:41,RETROSPOT TEA SET CERAMIC 11 PC ,23,4.25,15311,上海
536381,84854,6/1/2022 9:41,GIRLY PINK TOOL SET,5,4.95,15311,上海
536381,22411,6/1/2022 9:41,JUMBO SHOPPER VINTAGE RED PAISLEY,10,1.95,15311,上海
536381,82567,6/1/2022 9:41,"AIRLINE LOUNGE,METAL SIGN",2,2.1,15311,上海
536381,21672,6/1/2022 9:41,WHITE SPOT RED CERAMIC DRAWER KNOB,6,1.25,15311,上海
536381,22774,6/1/2022 9:41,RED DRAWER KNOB ACRYLIC EDWARDIAN,24,1.25,15311,上海
536381,22771,6/1/2022 9:41,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,1.25,15311,上海
536381,71270,6/1/2022 9:41,PHOTO CLIP LINE,1,1.25,15311,上海
536381,22262,6/1/2022 9:41,FELT EGG COSY CHICKEN,1,0.85,15311,上海
536381,22637,6/1/2022 9:41,PIGGY BANK RETROSPOT ,1,2.55,15311,上海
536381,21934,6/1/2022 9:41,SKULL SHOULDER BAG,10,1.65,15311,上海
536381,21169,6/1/2022 9:41,YOU'RE CONFUSING ME METAL SIGN ,3,1.69,15311,上海
536381,21166,6/1/2022 9:41,COOK WITH WINE METAL SIGN ,1,1.95,15311,上海
536381,21175,6/1/2022 9:41,GIN + TONIC DIET METAL SIGN,2,2.1,15311,上海
536381,37444A,6/1/2022 9:41,YELLOW BREAKFAST CUP AND SAUCER,1,2.95,15311,上海
536381,37444C,6/1/2022 9:41,PINK BREAKFAST CUP AND SAUCER ,1,2.95,15311,上海
536381,22086,6/1/2022 9:41,PAPER CHAIN KIT 50'S CHRISTMAS ,4,2.95,15311,上海
536381,22083,6/1/2022 9:41,PAPER CHAIN KIT RETROSPOT,1,2.95,15311,上海
536381,84971S,6/1/2022 9:41,SMALL HEART FLOWERS HOOK ,6,0.85,15311,上海
536381,71270,6/1/2022 9:41,PHOTO CLIP LINE,3,1.25,15311,上海
536381,47580,6/1/2022 9:41,TEA TIME DES TEA COSY,2,2.55,15311,上海
536381,22261,6/1/2022 9:41,FELT EGG COSY WHITE RABBIT ,1,0.85,15311,上海
536381,84832,6/1/2022 9:41,ZINC WILLIE WINKIE  CANDLE STICK,1,0.85,15311,上海
536381,22644,6/1/2022 9:41,CERAMIC CHERRY CAKE MONEY BANK,1,1.45,15311,上海
536381,21533,6/1/2022 9:41,RETROSPOT LARGE MILK JUG,1,4.95,15311,上海
536381,21557,6/1/2022 9:41,SET OF 6 FUNKY BEAKERS,2,2.95,15311,上海
536381,15056BL,6/1/2022 9:41,EDWARDIAN PARASOL BLACK,2,5.95,15311,上海
536381,15056N,6/1/2022 9:41,EDWARDIAN PARASOL NATURAL,2,5.95,15311,上海
536381,22646,6/1/2022 9:41,CERAMIC STRAWBERRY CAKE MONEY BANK,4,1.45,15311,上海
536381,22176,6/1/2022 9:41,BLUE OWL SOFT TOY,1,2.95,15311,上海
536381,22438,6/1/2022 9:41,BALLOON ART MAKE YOUR OWN FLOWERS,1,1.95,15311,上海
